ID,City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,WonBy,Margin,method,Player_of_Match,Team1Players,Team2Players,Umpire1,Umpire2
1136590,Pune,30-04-2018,2018,30,Chennai Super Kings,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,field,N,Chennai Super Kings,Runs,13,NA,SR Watson,"['SR Watson', 'F du Plessis', 'SK Raina', 'AT Rayudu', 'MS Dhoni', 'RA Jadeja', 'DJ Bravo', 'KV Sharma', 'Harbhajan Singh', 'KM Asif', 'L Ngidi']","['PP Shaw', 'C Munro', 'SS Iyer', 'RR Pant', 'GJ Maxwell', 'V Shankar', 'R Tewatia', 'LE Plunkett', 'A Mishra', 'Avesh Khan', 'TA Boult']",AY Dandekar,C Shamshuddin
1136588,Jaipur,29-04-2018,2018,28,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,Sunrisers Hyderabad,bat,N,Sunrisers Hyderabad,Runs,11,NA,KS Williamson,"['AD Hales', 'S Dhawan', 'KS Williamson', 'MK Pandey', 'Shakib Al Hasan', 'YK Pathan', 'WP Saha', 'Rashid Khan', 'Basil Thampi', 'Sandeep Sharma', 'S Kaul']","['AM Rahane', 'RA Tripathi', 'SV Samson', 'BA Stokes', 'JC Buttler', 'MK Lomror', 'K Gowtham', 'JC Archer', 'DS Kulkarni', 'IS Sodhi', 'JD Unadkat']",BNJ Oxenford,A Nand Kishore
1136589,Bengaluru,29-04-2018,2018,29,Royal Challengers Bangalore,Kolkata Knight Riders,M.Chinnaswamy Stadium,Kolkata Knight Riders,field,N,Kolkata Knight Riders,Wickets,6,NA,CA Lynn,"['Q de Kock', 'BB McCullum', 'V Kohli', 'M Vohra', 'Mandeep Singh', 'C de Grandhomme', 'M Ashwin', 'TG Southee', 'UT Yadav', 'YS Chahal', 'Mohammed Siraj']","['CA Lynn', 'SP Narine', 'RV Uthappa', 'N Rana', 'AD Russell', 'KD Karthik', 'Shubman Gill', 'Shivam Mavi', 'PP Chawla', 'MG Johnson', 'Kuldeep Yadav']",AK Chaudhary,NJ Llong
1136587,Pune,28-04-2018,2018,27,Chennai Super Kings,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,field,N,Mumbai Indians,Wickets,8,NA,RG Sharma,"['SR Watson', 'AT Rayudu', 'SK Raina', 'MS Dhoni', 'DJ Bravo', 'SW Billings', 'RA Jadeja', 'Harbhajan Singh', 'DL Chahar', 'SN Thakur', 'Imran Tahir']","['SA Yadav', 'E Lewis', 'RG Sharma', 'HH Pandya', 'Ishan Kishan', 'JP Duminy', 'KH Pandya', 'BCJ Cutting', 'MJ McClenaghan', 'M Markande', 'JJ Bumrah']",CB Gaffaney,Nitin Menon
1136586,Delhi,27-04-2018,2018,26,Delhi Daredevils,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,field,N,Delhi Daredevils,Runs,55,NA,SS Iyer,"['PP Shaw', 'C Munro', 'SS Iyer', 'RR Pant', 'GJ Maxwell', 'V Shankar', 'R Tewatia', 'LE Plunkett', 'A Mishra', 'Avesh Khan', 'TA Boult']","['CA Lynn', 'SP Narine', 'RV Uthappa', 'N Rana', 'KD Karthik', 'Shubman Gill', 'AD Russell', 'Shivam Mavi', 'PP Chawla', 'MG Johnson', 'Kuldeep Yadav']",C Shamshuddin,S Ravi
1136585,Hyderabad,26-04-2018,2018,25,Sunrisers Hyderabad,Kings XI Punjab,Rajiv Gandhi International Stadium,Kings XI Punjab,field,N,Sunrisers Hyderabad,Runs,13,NA,AS Rajpoot,"['S Dhawan', 'KS Williamson', 'WP Saha', 'MK Pandey', 'Shakib Al Hasan', 'YK Pathan', 'Mohammad Nabi', 'Rashid Khan', 'Basil Thampi', 'S Kaul', 'Sandeep Sharma']","['KL Rahul', 'CH Gayle', 'MA Agarwal', 'KK Nair', 'AJ Finch', 'MK Tiwary', 'R Ashwin', 'AJ Tye', 'BB Sran', 'AS Rajpoot', 'Mujeeb Ur Rahman']",CK Nandan,YC Barde
1136584,Bengaluru,25-04-2018,2018,24,Royal Challengers Bangalore,Chennai Super Kings,M.Chinnaswamy Stadium,Chennai Super Kings,field,N,Chennai Super Kings,Wickets,5,NA,MS Dhoni,"['Q de Kock', 'V Kohli', 'AB de Villiers', 'CJ Anderson', 'Mandeep Singh', 'C de Grandhomme', 'P Negi', 'Washington Sundar', 'UT Yadav', 'Mohammed Siraj', 'YS Chahal']","['SR Watson', 'AT Rayudu', 'SK Raina', 'SW Billings', 'RA Jadeja', 'MS Dhoni', 'DJ Bravo', 'Harbhajan Singh', 'DL Chahar', 'SN Thakur', 'Imran Tahir']",NJ Llong,VK Sharma
1136583,Mumbai,24-04-2018,2018,23,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,N,Sunrisers Hyderabad,Runs,31,NA,Rashid Khan,"['S Dhawan', 'KS Williamson', 'WP Saha', 'MK Pandey', 'Shakib Al Hasan', 'YK Pathan', 'Mohammad Nabi', 'Rashid Khan', 'Basil Thampi', 'S Kaul', 'Sandeep Sharma']","['SA Yadav', 'E Lewis', 'Ishan Kishan', 'RG Sharma', 'KH Pandya', 'KA Pollard', 'HH Pandya', 'MJ McClenaghan', 'M Markande', 'JJ Bumrah', 'Mustafizur Rahman']",C Shamshuddin,S Ravi
1136582,Delhi,23-04-2018,2018,22,Kings XI Punjab,Delhi Daredevils,Arun Jaitley Stadium,Delhi Daredevils,field,N,Kings XI Punjab,Runs,4,NA,AS Rajpoot,"['KL Rahul', 'AJ Finch', 'MA Agarwal', 'KK Nair', 'Yuvraj Singh', 'DA Miller', 'R Ashwin', 'AJ Tye', 'BB Sran', 'AS Rajpoot', 'Mujeeb Ur Rahman']","['PP Shaw', 'G Gambhir', 'GJ Maxwell', 'SS Iyer', 'RR Pant', 'DT Christian', 'R Tewatia', 'LE Plunkett', 'A Mishra', 'Avesh Khan', 'TA Boult']",A Nand Kishore,CK Nandan
1136581,Jaipur,22-04-2018,2018,21,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Mumbai Indians,bat,N,Rajasthan Royals,Wickets,3,NA,JC Archer,"['SA Yadav', 'E Lewis', 'Ishan Kishan', 'KA Pollard', 'RG Sharma', 'KH Pandya', 'HH Pandya', 'MJ McClenaghan', 'M Markande', 'JJ Bumrah', 'Mustafizur Rahman']","['AM Rahane', 'RA Tripathi', 'SV Samson', 'BA Stokes', 'JC Buttler', 'H Klaasen', 'JC Archer', 'K Gowtham', 'JD Unadkat', 'DS Kulkarni', 'S Gopal']",KN Ananthapadmanabhan,RJ Tucker
1136580,Hyderabad,22-04-2018,2018,20,Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,field,N,Chennai Super Kings,Runs,4,NA,AT Rayudu,"['SR Watson', 'F du Plessis', 'SK Raina', 'AT Rayudu', 'MS Dhoni', 'SW Billings', 'DJ Bravo', 'RA Jadeja', 'DL Chahar', 'KV Sharma', 'SN Thakur']","['RK Bhui', 'KS Williamson', 'MK Pandey', 'DJ Hooda', 'Shakib Al Hasan', 'YK Pathan', 'WP Saha', 'Rashid Khan', 'B Kumar', 'B Stanlake', 'S Kaul']",AK Chaudhary,VA Kulkarni
1136579,Bengaluru,21-04-2018,2018,19,Delhi Daredevils,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,field,N,Royal Challengers Bangalore,Wickets,6,NA,AB de Villiers,"['JJ Roy', 'G Gambhir', 'SS Iyer', 'RR Pant', 'GJ Maxwell', 'R Tewatia', 'CH Morris', 'V Shankar', 'S Nadeem', 'HV Patel', 'TA Boult']","['Q de Kock', 'M Vohra', 'V Kohli', 'AB de Villiers', 'CJ Anderson', 'Mandeep Singh', 'Washington Sundar', 'CR Woakes', 'UT Yadav', 'Mohammed Siraj', 'YS Chahal']",CB Gaffaney,CK Nandan
1136578,Kolkata,21-04-2018,2018,18,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kings XI Punjab,field,N,Kings XI Punjab,Wickets,9,D/L,KL Rahul,"['CA Lynn', 'SP Narine', 'RV Uthappa', 'N Rana', 'KD Karthik', 'AD Russell', 'Shubman Gill', 'TK Curran', 'PP Chawla', 'Shivam Mavi', 'Kuldeep Yadav']","['KL Rahul', 'CH Gayle', 'MA Agarwal', 'KK Nair', 'AJ Finch', 'Yuvraj Singh', 'R Ashwin', 'AJ Tye', 'BB Sran', 'Mujeeb Ur Rahman', 'AS Rajpoot']",A Deshmukh,C Shamshuddin
